Transaction ID,Date,Order Time,Branch ID,Employee ID,Product ID,Order Type,Qty,Price
23034446,04-01-25,12:01:12 AM,971107,9711076,10017,Dine In,3,3.5
23034448,04-01-25,12:03:12 AM,966105,2001013,10016,Take Away,4,4
23034448,04-01-25,12:03:12 AM,966105,2001013,10019,Take Away,3,4.5
23034451,04-01-25,12:12:24 AM,971106,9711068,10018,Dine In,4,4
23034451,04-01-25,12:12:24 AM,971106,9711068,10031,Dine In,1,4.5
23034458,04-01-25,12:24:24 AM,971107,9711075,10013,Dine In,1,3.5
23034460,04-01-25,12:24:24 AM,971106,9711069,10021,Take Away,4,4
23034461,04-01-25,12:26:24 AM,966104,9661045,10031,Dine In,1,4.5
23034462,04-01-25,12:28:24 AM,974109,9741096,10013,Dine In,2,3.5
23034464,04-01-25,12:29:36 AM,966104,9661041,10019,Dine In,2,4.5
23034465,04-01-25,12:30:48 AM,971106,9711064,10026,Dine In,4,3
23034467,04-01-25,12:32:00 AM,971107,2001035,10019,Dine In,3,4.5
23034470,04-01-25,12:34:48 AM,966104,9661044,10036,Take Away,4,6
23034473,04-01-25,12:40:24 AM,200103,2001034,10015,Dine In,4,4
23034473,04-01-25,12:40:24 AM,200103,2001034,10019,Dine In,4,4.5
23034481,04-01-25,12:47:36 AM,200101,2001017,10002,Dine In,3,4.5
23034482,04-01-25,12:48:24 AM,971106,9711067,10007,Dine In,3,4.5
23034483,04-01-25,12:50:48 AM,200101,2001018,10013,Take Away,3,3.5
23034483,04-01-25,12:50:48 AM,200101,2001018,10019,Take Away,3,4.5
23034485,04-01-25,12:55:36 AM,966104,9661041,10013,Dine In,3,3.5
23034487,04-01-25,12:58:24 AM,971107,9711074,10005,Dine In,2,5.5
23034488,04-01-25,12:58:24 AM,966105,9661051,10006,Dine In,3,5.5
23034488,04-01-25,12:58:24 AM,966105,9661051,10021,Dine In,3,4
23034493,04-01-25,1:11:36 AM,966105,9661054,10034,Dine In,2,4
23034494,04-01-25,1:12:48 AM,971107,9711073,10011,Dine In,2,5
23034496,04-01-25,1:17:12 AM,974109,9741093,10020,Take Away,2,4.5
23034496,04-01-25,1:17:12 AM,974109,9741093,10029,Take Away,4,4
23034497,04-01-25,1:18:48 AM,200103,2001033,10020,Dine In,2,4.5
23034498,04-01-25,1:18:48 AM,971107,9711071,10040,Dine In,2,5
23034503,04-01-25,1:27:36 AM,966105,9661052,10027,Dine In,2,3.5
23034504,04-01-25,1:29:36 AM,966104,9661043,10016,Dine In,1,4
23034504,04-01-25,1:29:12 AM,966104,9661043,10027,Dine In,2,3.5
23034507,04-01-25,1:31:36 AM,974109,9741097,10013,Dine In,2,3.5
23034507,04-01-25,1:31:36 AM,974109,9741097,10020,Dine In,1,4.5
23034513,04-01-25,1:36:24 AM,971107,9711075,10024,Take Away,2,4.5
23034514,04-01-25,1:36:24 AM,971106,9711065,10006,Take Away,3,5.5
23034514,04-01-25,1:36:24 AM,971106,9711065,10024,Take Away,4,4.5
23034515,04-01-25,1:37:12 AM,200103,2001036,10019,Take Away,1,4.5
23034516,04-01-25,1:38:00 AM,974109,9741097,10015,Dine In,4,4
23034517,04-01-25,1:39:12 AM,971106,9711067,10012,Dine In,3,4
23034517,04-01-25,1:39:12 AM,971106,9711067,10032,Dine In,2,4
23034519,04-01-25,1:41:36 AM,962110,9621105,10002,Take Away,4,4.5
23034520,04-01-25,1:42:24 AM,966104,9661041,10007,Dine In,3,4.5
23034521,04-01-25,1:44:24 AM,974109,9741093,10011,Dine In,1,5
23034522,04-01-25,1:48:24 AM,971107,9711074,10001,Dine In,1,4.5
23034523,04-01-25,1:52:00 AM,966105,9661051,10016,Take Away,2,4
23034523,04-01-25,1:52:00 AM,966105,9661051,10018,Take Away,2,4
23034530,04-01-25,2:04:00 AM,966104,9661043,10001,Dine In,4,4.5
23034534,04-01-25,2:11:12 AM,200101,2001015,10017,Take Away,1,3.5
23034534,04-01-25,2:11:12 AM,200101,2001015,10021,Take Away,1,4
23034535,04-01-25,2:14:24 AM,200101,2001015,10004,Dine In,4,5
23034535,04-01-25,2:14:00 AM,200101,2001015,10035,Dine In,1,6
23034536,04-01-25,2:14:00 AM,971106,9711069,10024,Dine In,2,4.5
23034537,04-01-25,2:14:00 AM,200101,2001018,10015,Dine In,1,4
23034538,04-01-25,2:14:24 AM,965108,9651087,10034,Dine In,3,4
23034539,04-01-25,2:16:24 AM,200101,2001017,10032,Dine In,2,4
23034540,04-01-25,2:16:24 AM,966104,9661043,10018,Dine In,3,4
23034544,04-01-25,2:25:36 AM,200101,2001018,10018,Dine In,2,4
23034548,04-01-25,2:33:36 AM,200101,2001017,10002,Dine In,2,4.5
23034552,04-01-25,2:38:24 AM,200103,2001035,10015,Take Away,2,4
23034552,04-01-25,2:38:24 AM,200103,2001035,10016,Take Away,2,4
23034556,04-01-25,2:45:12 AM,200101,2001017,10024,Dine In,4,4.5
23034557,04-01-25,2:46:00 AM,962110,9711068,10011,Dine In,1,5
23034559,04-01-25,2:47:36 AM,971107,2001035,10027,Dine In,4,3.5
23034560,04-01-25,2:48:00 AM,200103,2001035,10027,Dine In,4,3.5
23034560,04-01-25,2:48:00 AM,200103,2001035,10029,Dine In,4,4
23034564,04-01-25,2:55:12 AM,965108,9651087,10016,Dine In,3,4
23034564,04-01-25,2:55:12 AM,965108,9651087,10019,Dine In,4,4.5
23034565,04-01-25,2:57:12 AM,966104,9661043,10020,Dine In,2,4.5
23034568,04-01-25,3:04:24 AM,966104,9711071,10021,Dine In,4,4
23034572,04-01-25,3:08:24 AM,971107,9711072,10019,Dine In,2,4.5
23034574,04-01-25,3:09:36 AM,962110,9621105,10013,Dine In,2,3.5
23034575,04-01-25,3:10:00 AM,200101,2001011,10020,Take Away,4,4.5
23034575,04-01-25,3:10:00 AM,200101,2001011,10029,Take Away,3,4
23034577,04-01-25,3:15:36 AM,200101,2001014,10016,Take Away,4,4
